method,active_layers,rank,seed,sess,status,log_file,best_acc,best_epoch,final_acc,final_epoch,parse_status
First-4-r15,"0,1,2,3",15,1,dp_sst2_first_l0123_r15_s1,done,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_first_l0123_r15_s1_train_log.txt,0.875779,17,0.870160,20,ok
First-4-r15,"0,1,2,3",15,2,dp_sst2_first_l0123_r15_s2,done,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_first_l0123_r15_s2_train_log.txt,0.873523,18,0.871309,20,ok
First-4-r15,"0,1,2,3",15,3,dp_sst2_first_l0123_r15_s3,done,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_first_l0123_r15_s3_train_log.txt,0.867595,14,0.862848,20,ok
Last-4-r15,"8,9,10,11",15,1,dp_sst2_last_l891011_r15_s1,done,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_last_l891011_r15_s1_train_log.txt,0.926022,11,0.921425,20,ok
Last-4-r15,"8,9,10,11",15,2,dp_sst2_last_l891011_r15_s2,done,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_last_l891011_r15_s2_train_log.txt,0.926508,15,0.925367,20,ok
Last-4-r15,"8,9,10,11",15,3,dp_sst2_last_l891011_r15_s3,done,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_last_l891011_r15_s3_train_log.txt,0.923088,14,0.918833,20,ok
Causal-top4-r15,"0,1,2,5",15,1,dp_sst2_causal_l0125_r15_s1,done,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_causal_l0125_r15_s1_train_log.txt,0.909454,17,0.904046,20,ok
Causal-top4-r15,"0,1,2,5",15,2,dp_sst2_causal_l0125_r15_s2,done,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_causal_l0125_r15_s2_train_log.txt,0.905975,12,0.900248,20,ok
Causal-top4-r15,"0,1,2,5",15,3,dp_sst2_causal_l0125_r15_s3,done,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_causal_l0125_r15_s3_train_log.txt,0.901225,18,0.896889,20,ok
Random-top4-r15,"0,2,4,7",15,1,dp_sst2_rand_l0247_r15_s1,done,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_rand_l0247_r15_s1_train_log.txt,0.920605,9,0.915247,20,ok
Random-top4-r15,"0,2,4,7",15,2,dp_sst2_rand_l0247_r15_s2,done,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_rand_l0247_r15_s2_train_log.txt,0.925202,15,0.924830,20,ok
Random-top4-r15,"0,2,4,7",15,3,dp_sst2_rand_l0247_r15_s3,done,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_rand_l0247_r15_s3_train_log.txt,0.919082,15,0.916708,20,ok
Random-top4-r15,"1,3,5,8",15,1,dp_sst2_rand_l1358_r15_s1,done,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_rand_l1358_r15_s1_train_log.txt,0.931112,16,0.928828,20,ok
Random-top4-r15,"1,3,5,8",15,2,dp_sst2_rand_l1358_r15_s2,done,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_rand_l1358_r15_s2_train_log.txt,0.927352,17,0.922976,20,ok
Random-top4-r15,"1,3,5,8",15,3,dp_sst2_rand_l1358_r15_s3,done,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_rand_l1358_r15_s3_train_log.txt,0.920324,15,0.916909,20,ok
Random-top4-r15,"2,4,6,10",15,1,dp_sst2_rand_l24610_r15_s1,done,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_rand_l24610_r15_s1_train_log.txt,0.931320,15,0.930138,20,ok
Random-top4-r15,"2,4,6,10",15,2,dp_sst2_rand_l24610_r15_s2,done,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_rand_l24610_r15_s2_train_log.txt,0.931749,18,0.931749,20,ok
Random-top4-r15,"2,4,6,10",15,3,dp_sst2_rand_l24610_r15_s3,done,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_rand_l24610_r15_s3_train_log.txt,0.919583,10,0.915708,20,ok
Random-top4-r15,"0,5,7,11",15,1,dp_sst2_rand_l05711_r15_s1,done,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_rand_l05711_r15_s1_train_log.txt,0.923527,11,0.921873,20,ok
Random-top4-r15,"0,5,7,11",15,2,dp_sst2_rand_l05711_r15_s2,done,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_rand_l05711_r15_s2_train_log.txt,0.920904,12,0.917646,20,ok
Random-top4-r15,"0,5,7,11",15,3,dp_sst2_rand_l05711_r15_s3,done,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_rand_l05711_r15_s3_train_log.txt,0.913132,7,0.913072,20,ok
Random-top4-r15,"1,6,8,10",15,1,dp_sst2_rand_l16810_r15_s1,done,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_rand_l16810_r15_s1_train_log.txt,0.930109,6,0.925302,20,ok
Random-top4-r15,"1,6,8,10",15,2,dp_sst2_rand_l16810_r15_s2,done,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_rand_l16810_r15_s2_train_log.txt,0.933814,15,0.932772,20,ok
Random-top4-r15,"1,6,8,10",15,3,dp_sst2_rand_l16810_r15_s3,done,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_rand_l16810_r15_s3_train_log.txt,0.921806,11,0.916277,20,ok
