method,active_layers,rank,seed,sess,status,log_file
First-4-r15,"0,1,2,3",15,1,dp_sst2_first_l0123_r15_s1,done,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_first_l0123_r15_s1_train_log.txt
First-4-r15,"0,1,2,3",15,2,dp_sst2_first_l0123_r15_s2,done,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_first_l0123_r15_s2_train_log.txt
First-4-r15,"0,1,2,3",15,3,dp_sst2_first_l0123_r15_s3,done,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_first_l0123_r15_s3_train_log.txt
Last-4-r15,"8,9,10,11",15,1,dp_sst2_last_l891011_r15_s1,done,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_last_l891011_r15_s1_train_log.txt
Last-4-r15,"8,9,10,11",15,2,dp_sst2_last_l891011_r15_s2,done,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_last_l891011_r15_s2_train_log.txt
Last-4-r15,"8,9,10,11",15,3,dp_sst2_last_l891011_r15_s3,done,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_last_l891011_r15_s3_train_log.txt
Causal-top4-r15,"0,1,2,5",15,1,dp_sst2_causal_l0125_r15_s1,done,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_causal_l0125_r15_s1_train_log.txt
Causal-top4-r15,"0,1,2,5",15,2,dp_sst2_causal_l0125_r15_s2,done,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_causal_l0125_r15_s2_train_log.txt
Causal-top4-r15,"0,1,2,5",15,3,dp_sst2_causal_l0125_r15_s3,done,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_causal_l0125_r15_s3_train_log.txt
Random-top4-r15,"0,2,4,7",15,1,dp_sst2_rand_l0247_r15_s1,done,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_rand_l0247_r15_s1_train_log.txt
Random-top4-r15,"0,2,4,7",15,2,dp_sst2_rand_l0247_r15_s2,done,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_rand_l0247_r15_s2_train_log.txt
Random-top4-r15,"0,2,4,7",15,3,dp_sst2_rand_l0247_r15_s3,done,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_rand_l0247_r15_s3_train_log.txt
Random-top4-r15,"1,3,5,8",15,1,dp_sst2_rand_l1358_r15_s1,done,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_rand_l1358_r15_s1_train_log.txt
Random-top4-r15,"1,3,5,8",15,2,dp_sst2_rand_l1358_r15_s2,done,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_rand_l1358_r15_s2_train_log.txt
Random-top4-r15,"1,3,5,8",15,3,dp_sst2_rand_l1358_r15_s3,done,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_rand_l1358_r15_s3_train_log.txt
Random-top4-r15,"2,4,6,10",15,1,dp_sst2_rand_l24610_r15_s1,done,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_rand_l24610_r15_s1_train_log.txt
Random-top4-r15,"2,4,6,10",15,2,dp_sst2_rand_l24610_r15_s2,done,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_rand_l24610_r15_s2_train_log.txt
Random-top4-r15,"2,4,6,10",15,3,dp_sst2_rand_l24610_r15_s3,done,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_rand_l24610_r15_s3_train_log.txt
Random-top4-r15,"0,5,7,11",15,1,dp_sst2_rand_l05711_r15_s1,done,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_rand_l05711_r15_s1_train_log.txt
Random-top4-r15,"0,5,7,11",15,2,dp_sst2_rand_l05711_r15_s2,done,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_rand_l05711_r15_s2_train_log.txt
Random-top4-r15,"0,5,7,11",15,3,dp_sst2_rand_l05711_r15_s3,done,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_rand_l05711_r15_s3_train_log.txt
Random-top4-r15,"1,6,8,10",15,1,dp_sst2_rand_l16810_r15_s1,done,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_rand_l16810_r15_s1_train_log.txt
Random-top4-r15,"1,6,8,10",15,2,dp_sst2_rand_l16810_r15_s2,done,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_rand_l16810_r15_s2_train_log.txt
Random-top4-r15,"1,6,8,10",15,3,dp_sst2_rand_l16810_r15_s3,done,/mnt/d/project/Language-Understanding-RoBERTa/bert_lora/log_dir/SST-2/dp_sst2_rand_l16810_r15_s3_train_log.txt
